Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
MasterCard,5415901952021712,10/01/2025,,LOBLAWS #1234 TORONTO,, -89.45,
MasterCard,5415901952021712,10/02/2025,,MCDONALD'S #41147 OSHAWA,, -20.88,
MasterCard,5415901952021712,10/03/2025,,PRESTO APPL/Q8BPBPZ5Z2 TORONTO,, -10.00,
MasterCard,5415901952021712,10/04/2025,,TST-Nest Uxbridge,, -5.09,
MasterCard,5415901952021712,10/05/2025,,NETFLIX.COM,, -16.99,
MasterCard,5415901952021712,10/06/2025,,SHELL #12345 OSHAWA,, -65.00,
MasterCard,5415901952021712,10/07/2025,,TIM HORTONS #9876 TORONTO,, -12.50,
MasterCard,5415901952021712,10/08/2025,,AMAZON.CA,, -45.67,
MasterCard,5415901952021712,10/09/2025,,UBER TRIP HELP.UBER.COM,, -28.30,
MasterCard,5415901952021712,10/10/2025,,SPOTIFY,, -10.99,
MasterCard,5415901952021712,10/11/2025,,COSTCO WHOLESALE #123,, -156.78,
MasterCard,5415901952021712,10/12/2025,,STARBUCKS #54321 TORONTO,, -15.60,
MasterCard,5415901952021712,10/13/2025,,UBER EATS HELP.UBER.COM,, -42.85,
MasterCard,5415901952021712,10/14/2025,,METRO #5678 OSHAWA,, -67.90,
MasterCard,5415901952021712,10/15/2025,,PAYMENT - THANK YOU,,, 2500.00,
MasterCard,5415901952021712,10/16/2025,,ESSO #9999 TORONTO,, -55.00,
MasterCard,5415901952021712,10/17/2025,,WHOLE FOODS #123 TORONTO,, -98.55,
MasterCard,5415901952021712,10/18/2025,,CINEPLEX #456 OSHAWA,, -35.00,
MasterCard,5415901952021712,10/19/2025,,LCBO #7890 TORONTO,, -48.75,
MasterCard,5415901952021712,10/20/2025,,SHOPPERS DRUG MART #123,, -32.40,
